VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,25.5,3.8,11.2,20.6,31.4,22.5,22.7,21.9,29.1,-8.9,26.5,34.2,18.2,15.3,13.8,7.9,9.0,21.8,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports,,N,Exports,,,,,,,,,,,,,,,,,,,,,,
,               Imports,33.2,3.7,21.8,27.9,26.6,15.0,22.1,39.8,28.6,-13.3,21.3,25.8,6.6,16.0,12.0,12.1,5.6,21.7,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports,,N,Imports,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Direction of Trade{|},,Y,Direction of Trade{|},,,,,,,,,,,,,,,,,,,,,,
,"Exports, total","14,482","15,032","16,710","20,156","26,525","32,537","39,893","48,624","62,791","57,516","70,249","93,386","111,291","128,743","145,802","160,131","175,791","213,600","238,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Exports, total",,,,,,,,,,,,,,,,,,,,,,,
,     1. United States,733,"1,065","2,453","3,939","5,025","5,924","7,845","10,105","11,887","11,356","14,238","16,928","19,668","23,869","28,656","33,475","38,473","41,550","46,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     1. China, People's Republic of",,,,,,,,,,,,,,,,,,,,,,,
,"     2. China, People's Republic of","1,536","1,417","1,518","1,883","2,899","3,228","3,243","3,646","4,850","4,909","7,309","11,125","12,388","13,259","14,906","16,568","21,950","35,394","41,314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     2. United States,,,,,,,,,,,,,,,,,,,,,,,
,     3. Japan,"2,575","2,510","2,437","2,909","3,542","4,340","5,240","6,090","8,468","6,292","7,728","10,781","13,060","13,651","14,704","14,100","14,671","16,792","18,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     3. Japan,,,,,,,,,,,,,,,,,,,,,,,
,"     4. Korea, Republic of",353,406,469,492,608,664,843,"1,243","1,793","2,064","3,092","4,715","5,580","6,631","7,144","8,915","11,406","14,807","18,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     4. Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,
,"     5. Hong Kong, China",316,317,340,369,380,353,453,583,877,"1,034","1,464","2,206","3,706","4,107","5,203","6,959","6,088","7,574","7,974",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     5. Malaysia,,,,,,,,,,,,,,,,,,,,,,,
,     6. Germany,730,722,729,855,"1,065","1,085","1,445","1,855","2,073","1,885","2,373","3,367","4,095","4,730","5,185","5,707","5,961","6,354","6,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     6. Singapore,,,,,,,,,,,,,,,,,,,,,,,
,     7. Netherlands,391,365,404,493,582,659,857,"1,182","1,577","1,335","1,688","2,148","2,476","2,937","3,769","4,760","6,012","7,099","6,986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     7. Indonesia,,,,,,,,,,,,,,,,,,,,,,,
,     8. United Arab Emirates,24,33,41,66,94,122,141,234,358,360,508,922,"2,078","4,139","4,628","5,691","5,000","5,027","5,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     8. Australia,,,,,,,,,,,,,,,,,,,,,,,
,     9. United Kingdom,479,512,572,755,"1,010","1,016","1,180","1,431","1,581","1,329","1,682","2,398","3,034","3,699","3,652","4,645","4,898","5,415","5,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     9. Viet Nam,,,,,,,,,,,,,,,,,,,,,,,
,     10. Thailand,372,323,227,335,518,863,930,"1,030","1,289","1,266","1,183","1,792","2,832","3,104","3,476","3,178","3,691","4,801","5,510",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     10. Philippines,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total","15,646","16,218","19,746","25,261","31,969","36,761","44,891","62,764","80,713","69,949","83,365","104,419","111,640","129,258","143,667","176,816","186,541","227,039","231,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Imports, total",,,,,,,,,,,,,,,,,,,,,,,
,"     1. China, People's Republic of","1,401","1,606","2,159","3,139","4,595","5,900","7,391","12,710","15,974","16,441","20,019","24,594","28,786","36,954","43,868","49,441","50,038","58,533","65,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     1. Japan,,,,,,,,,,,,,,,,,,,,,,,
,"     2. Korea, Republic of","1,754","1,887","2,280","2,625","3,359","3,594","3,908","5,340","7,255","6,976","9,761","13,176","15,536","20,698","21,736","27,579","32,193","46,943","47,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     2. China, People's Republic of",,,,,,,,,,,,,,,,,,,,,,,
,     3. Japan,"2,301","2,183","2,505","2,982","3,553","4,074","4,702","6,189","8,240","7,468","9,016","10,400","11,603","11,612","12,909","14,182","15,098","16,917","19,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     3. United States,,,,,,,,,,,,,,,,,,,,,,,
,"     4. Taipei,China","1,880","2,009","2,525","2,916","3,698","4,304","4,825","6,947","8,363","6,253","6,977","8,557","8,534","9,424","9,974","11,041","11,563","13,823","13,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     4. United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,
,     5. Thailand,811,792,955,"1,282","1,859","2,374","3,034","3,744","4,906","4,514","5,602","6,384","5,792","6,311","7,119","8,270","8,855","10,702","12,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     5. Malaysia,,,,,,,,,,,,,,,,,,,,,,,
,     6. United States,364,411,458,"1,143","1,134",863,987,"1,701","2,647","3,009","3,767","4,529","4,827","5,232","6,284","7,793","8,712","9,343","12,707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     6. Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,
,     7. Singapore,"2,694","2,478","2,534","2,876","3,618","4,482","6,274","7,614","9,378","4,248","4,101","6,391","6,690","5,703","6,827","6,031","4,769","5,319","4,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     7. Singapore,,,,,,,,,,,,,,,,,,,,,,,
,     8. Malaysia,389,464,683,925,"1,215","1,257","1,482","2,290","2,596","2,505","3,413","3,920","3,412","4,104","4,193","4,185","5,174","5,945","7,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     8. Taipei,China",,,,,,,,,,,,,,,,,,,,,,,
,     9. Indonesia,345,289,363,551,663,700,"1,013","1,354","1,729","1,546","1,909","2,248","2,248","2,375","2,497","2,738","2,992","3,656","4,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     9. Indonesia,,,,,,,,,,,,,,,,,,,,,,,
,     10. India,178,228,325,457,594,596,880,"1,357","2,094","1,635","1,762","2,346","2,161","2,883","3,132","2,655","2,746","3,955","4,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     10. Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSs   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,BALANCE OF PAYMENTS{|},,Y,BALANCE OF PAYMENTS{|},,,,,,,,,,,,,,,,,,,,,,
,Current account,"1,296",682,-607,"-1,905","-1,000",-561,-164,"-7,092","-10,823","-6,608","-4,276",233,"9,267","7,744 |","8,617",132,"6,174","4,676","5,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Current account,,N,Current account,,,,,,,,,,,,,,,,,,,,,,
,Balance on goods,376,481,"-1,054","-2,555","-2,287","-2,439","-2,776","-10,438","-12,783","-7,607","-5,136",-450,"8,714","8,713 |","12,126","7,375","11,042","10,845","16,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Balance on goods, net",,N,"Balance on goods, net",,,,,,,,,,,,,,,,,,,,,,
,     Exports,"14,448","15,027","16,706","20,149","26,485","32,447","39,826","48,561","62,685","57,096","72,237","96,906","114,529","132,032 |","150,217","162,017","176,581","215,119","243,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports,,N,Exports,,,,,,,,,,,,,,,,,,,,,,
,     Imports,"-14,072","-14,546","-17,760","-22,704","-28,772","-34,886","-42,602","-58,999","-75,468","-64,703","-77,373","-97,356","-105,815","-123,319 |","138,091","154,642","165,539","204,274","227,157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports,,N,Imports,,,,,,,,,,,,,,,,,,,,,,
,Balance on services,-550,-572,-749,-778,-872,-296,-8,-894,-950,"-2,421","-2,461","-3,168","-1,430","-3,110 |","-3,950","-4,765","-4,258","-3,920","-3,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Services and income,,N,Services and income,,,,,,,,,,,,,,,,,,,,,,
,     Credit,"2,702","2,810","2,948","3,272","3,867","4,176","5,100","6,030","7,006","5,766","7,460","8,691","9,620","10,710 |","11,050","11,250","12,500","13,110","14,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Credit,,N,Credit,,,,,,,,,,,,,,,,,,,,,,
,     Debit,"-3,252","-3,382","-3,697","-4,050","-4,739","-4,472","-5,108","-6,924","-7,956","-8,187","-9,921","-11,859","-11,050","-13,820 |","15,000","16,015","16,758","17,030","18,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Debit,,N,Debit,,,,,,,,,,,,,,,,,,,,,,
,Balance on primary income,-262,-477,-725,-811,-934,"-1,206","-1,429","-2,190","-4,401","-3,028","-4,564","-4,834","-6,229","-7,336 |","-8,844","-9,979","-8,595","-10,772","-16,022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Current transfers, net",,N,"Current transfers, net",,,,,,,,,,,,,,,,,,,,,,
,     Credit,331,318,167,125,188,364,668,"1,166","1,357",753,456,395,295,281 |,323,399,650,745,"1,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Credit,,N,Credit,,,,,,,,,,,,,,,,,,,,,,
,     Debit,-593,-795,-892,-936,"-1,122","-1,570","-2,097","-3,356","-5,758","-3,781","-5,020","-5,229","-6,524","-7,617 |","9,167","10,378","9,245","11,517","17,622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Debit,,N,Debit,,,,,,,,,,,,,,,,,,,,,,
,Balance on secondary income,"1,732","1,250","1,921","2,239","3,093","3,380","4,049","6,430","7,311","6,448","7,885","8,685","8,212","9,477 |","9,285","7,501","7,985","8,523","8,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Capital account,,N,Capital account,,,,,,,,,,,,,,,,,,,,,,
,     Credit,"1,732","1,250","1,921","2,239","3,093",...,...,"6,779","7,715","6,801","8,222","9,213","8,667","10,027 |","10,022","8,586","9,125","10,031","10,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Financial account,,N,Financial account,,,,,,,,,,,,,,,,,,,,,,
,     Debit,–,–,–,–,–,...,...,-349,-404,-353,-337,-528,-455,-550 |,737,"1,085","1,140","1,508","2,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Direct investment,,N,Direct investment,,,,,,,,,,,,,,,,,,,,,,
,Capital account,–,–,–,–,–,–,–,–,–,–,–,–,–,– |,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Portfolio investment, net",,N,"Portfolio investment, net",,,,,,,,,,,,,,,,,,,,,,
,     Credit,–,–,–,–,–,–,–,–,–,–,–,–,–,– |,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Other investments,,N,Other investments,,k,,,,,,,,,,,,,,,,,,,,
,     Debit,–,–,–,–,–,–,–,–,–,–,–,–,–,– |,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Net errors and omissions,,N,Net errors and omissions,,,,,,,,,,,,,,,,,,,,,,
,Financial account,-754,220,"1,978","3,305","2,652","3,087","3,088","18,011","12,341","6,755","6,201","6,490","8,729",-283 |,"5,571",967,"10,726","19,733","8,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Overall balance,,N,Overall balance,,,,,,,,,,,,,,,,,,,,,,
,     Direct investment,"1,298","1,300","1,400","1,450","1,610","1,889","2,315","6,797","9,279","6,900","7,100","6,569","7,168","6,944 |","8,050","10,700","11,600","13,620","14,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Reserves and related items,,N,Reserves and related items,,,,,,,,,,,,,,,,,,,,,,
,     Portfolio investment,–,–,–,–,–,865,"1,313","6,243",-578,-71,"2,370","1,460","1,990","1,460 |",93,-65,228,"1,887","3,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial derivatives,–,–,–,–,–,–,–,–,–,–,–,–,–,– |,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other investments,"-2,052","-1,080",578,"1,855","1,042",333,-540,"4,971","3,640",-74,"-3,269","-1,539",-429,"-8,687 |","-2,572","-9,668","-1,102","4,226","-9,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net errors and omissions,-864,-862,"-1,014",751,-769,-395,"1,398",-720,"-1,045","-9,022","-3,690","-5,574","-6,129","-6,904 |","-5,813","-7,130","-8,510","-11,865","-8,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall balance,-322,40,357,"2,151",883,"2,131","4,322","10,199",473,"-8,875","-1,765","1,149","11,867",557 |,"8,375","-6,032","8,390","12,544","6,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reserves and related items,322,-40,-357,"-2,151",-883,"-2,131","-4,322","-10,199",-473,"8,875","1,765","-1,149","-11,867",-557 |,"-8,375","6,032","-8,390","-12,544","-6,031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International investment position,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International investment position,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,              Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Balance of Payments  % of GDP,,Y,Balance of Payments  % of GDP,,,,,,,,,,,,,,,,,,,,,,
,               Exports,46.3,46.0,47.6,50.9,58.3,56.3,60.0,62.7,63.2,53.9,62.3,71.5,73.5,77.1,80.7,83.8,86.0,96.1,99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Exports,,N,Exports,,,,,,,,,,,,,,,,,,,,,,
,               Imports,45.1,44.5,50.7,57.4,63.3,60.5,64.2,76.2,76.1,61.0,66.7,71.8,67.9,72.0,74.2,80.0,80.6,91.3,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Imports,,N,Imports,,,,,,,,,,,,,,,,,,,,,,
,               Trade balance,1.2,1.5,-3.0,-6.5,-5.0,-4.2,-4.2,-13.5,-12.9,-7.2,-4.4,-0.3,5.6,5.1,6.5,3.8,5.4,4.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA1:EC32,,,,,2,2,"Balance on goods, as % of GDP",,N,,,,,,,,,,,,,,,,,,,,,,,
,               Current account balance,4.2,2.1,-1.7,-4.8,-2.2,-1.0,-0.2,-9.2,-10.9,-6.2,-3.7,0.2,5.9,4.5,4.6,0.1,3.0,2.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Current account balance,,N,Current account balance,,,,,,,,,,,,,,,,,,,,,,
,               Overall balance,-1.0,0.1,1.0,5.4,1.9,3.7,6.5,13.2,0.5,-8.4,-1.5,0.8,7.6,0.3,4.5,-3.1,4.1,5.6,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Overall balance,,N,Overall balance,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INTERNATIONAL RESERVES   as of end of period ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,INTERNATIONAL RESERVES{|},,Y,INTERNATIONAL RESERVES{|},,,,,,,,,,,,,,,,,,,,,,
,Total,"3,510","3,765","4,232","6,359","7,186","9,216","13,591","23,748","24,176","16,803","12,926","14,046","26,113","26,287","34,575","28,616","36,906","49,497",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Total,,N,Total,,,,,,,,,,,,,,,,,,,,,,
,"     Gold, national valuation",93,91,111,135,145,166,207,268,286,356,460,506,540,394,386,366,378,422,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Gold, national valuation",,N,"Gold, national valuation",,,,,,,,,,,,,,,,,,,,,,
,     Foreign exchange,"3,416","3,660","4,121","6,222","7,041","9,050","13,382","23,472","23,882","16,027","12,054","13,128","25,161","25,481","33,801","27,879","36,167","48,693",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Foreign exchange,,N,Foreign exchange,,,,,,,,,,,,,,,,,,,,,,
,     Reserve position in the IMF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Reserve position in the Fund,,N,Reserve position in the Fund,,,,,,,,,,,,,,,,,,,,,,
,     SDRs,0,15,0,2,0,1,2,8,8,420,413,411,412,413,388,371,360,383,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,SDRs,,N,SDRs,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXCHANGE RATES   (D–$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,EXCHANGE RATES{|},,Y,EXCHANGE RATES{|},,,,,,,,,,,,,,,,,,,,,,
,End of period,"14,514","15,084","15,403","15,646","15,777","15,916","16,054","16,114","16,977","17,941","18,932","20,828","20,828","21,036","21,246","21,890","22,159","22,425","22,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,End of period,,N,End of period,,,,,,,,,,,,,,,,,,,,,,
,Average of period,"14,168","14,725","15,280","15,510","15,746","15,859","15,994","16,105","16,302","17,065","18,613","20,510","20,828","20,933","21,148","21,698","21,935","22,370","22,602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Average of period,,N,Average of period,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL INDEBTEDNESS    as of end of period ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,EXTERNAL INDEBTEDNESS{|},,Y,EXTERNAL INDEBTEDNESS{|},,,,,,,,,,,,,,,,,,,,,,
,Total debt outstanding and disbursed,"12,785","12,579","13,267","15,517","17,566","18,530","18,686","23,071","26,435","32,703","44,902","53,886","61,577","65,448","72,423","77,806","85,642","104,079",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Total debt outstanding and disbursed,,N,Total debt outstanding and disbursed,,,,,,,,,,,,,,,,,,,,,,
,     Long-term debt,"11,584","11,434","12,143","14,285","15,526","16,219","15,995","18,442","22,040","27,346","37,444","42,612","48,746","52,797","58,365","65,382","72,501","81,736",...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Long-term,,N,Long-term,,,,,,,,,,,,,,,,,,,,,,
