SRI LANKA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Education,"30,929","28,286","37,209","39,115","42,340","63,557","78,332","92,540","100,083","100,506","104,248","121,369","136,201","151,801","190,150","225,047","238,290","257,446",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Social protection,"36,101","45,087","47,715","46,690","74,025","93,189","87,063","92,647","95,130","105,022","107,691","123,581","128,451","613,982","147,337","280,097","259,362","274,474",…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Expenditure by Function   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Education,2.1,1.7,2.0,1.9,1.8,2.3,2.3,2.3,2.0,1.8,1.6,1.7,1.6,1.6,1.8,2.1,2.0,1.9,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Health,1.4,1.1,1.3,1.3,1.4,1.6,1.7,1.7,1.5,1.3,1.2,1.2,1.1,1.2,1.3,1.6,1.6,1.5,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Social Protection,2.4,2.7,2.5,2.2,3.1,3.3,2.6,2.3,1.9,1.9,1.7,1.7,1.5,6.4,1.4,2.6,2.2,2.0,…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EXTERNAL TRADEn   calendar year (SLRs million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, fob","420,114","430,372","449,850","495,426","583,967","638,276","716,579","845,683","878,499","813,911","974,387","1,167,588","1,245,531","1,344,054","1,453,176","1,431,431","1,500,766","1,732,440","1,933,533*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, cif","554,290","532,964","584,491","643,749","811,138","891,359","1,066,689","1,250,386","1,525,705","1,172,618","1,519,737","2,241,488","2,440,899","2,323,128","2,535,163","2,572,467","2,794,393","3,198,572","3,606,644*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Trade balance,"-134,176","-102,592","-134,641","-148,323","-227,171","-253,083","-350,110","-404,703","-647,207","-358,707","-545,350","-1,073,900","-1,195,368","-979,074","-1,081,987","-1,141,035","-1,293,627","-1,466,133","-1,673,111*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               External Trade   (% annual change),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA3:EC29,,,,,1,1,Expenditure on education (% of GDP),,N
,               Exports,29.2,2.4,4.5,10.1,17.9,9.3,12.3,18.0,3.9,-7.4,19.7,19.8,6.7,7.9,8.1,-1.5,4.8,15.4,11.6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA3:EC30,,,,,1,1,Expenditure on health (% of GDP),,N
,               Imports,31.4,-3.8,9.7,10.1,26.0,9.9,19.7,17.2,22.0,-23.1,29.6,47.5,8.9,-4.9,9.1,1.5,8.6,14.5,12.8*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA3:EC34,,,,,,,Expenditure on social security (% of GDP),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction of Trade   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Exports, total","5,302.5","4,601.9","4,420.7","4,962.9","5,463.4","6,068.0","6,523.0","8,272.1","8,954.0","7,932.3","9,571.5","11,246.3","10,085.1","11,211.2","10,897.7","9,744.5","10,046.0","11,164.5","11,197.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     1. United States,"2,192.6","1,925.8","1,764.2","1,776.4","1,869.3","1,988.1","2,005.5","1,979.6","1,885.8","1,589.4","1,697.7","2,144.2","2,085.9","2,457.7","2,720.5","2,803.4","2,808.6","2,911.5","2,916.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     2. United Kingdom,736.7,576.3,590.3,640.4,779.2,777.3,880.1,"1,017.2","1,090.0","1,024.1",989.2,"1,111.6","1,032.3","1,079.5","1,115.4","1,030.9","1,043.8","1,035.2",925.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     3. India,58.0,72.0,170.6,245.0,391.5,566.4,489.5,515.7,418.7,324.9,473.8,521.6,563.9,553.3,624.6,644.8,550.9,689.4,740.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     4. Germany,230.2,198.5,199.3,232.4,274.1,271.8,328.8,437.3,405.7,347.9,399.7,508.8,443.4,463.0,496.7,474.8,498.4,538.4,584.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     5. Italy,69.1,61.1,71.9,117.5,152.9,199.6,258.0,391.5,444.9,437.7,466.4,609.8,501.0,509.0,614.0,434.0,428.0,529.4,575.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     6. Belgium,–,–,–,–,–,–,–,406.6,408.7,368.0,372.9,546.3,449.2,481.2,318.5,282.4,337.9,346.6,351.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     7. United Arab Emirates,135.1,145.4,130.0,163.5,137.8,170.3,174.8,209.6,255.8,211.4,290.1,296.9,214.6,237.1,276.1,274.3,233.9,274.1,277.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     8. Netherlands,104.3,86.5,77.5,88.6,107.1,99.9,121.5,151.0,157.3,156.4,200.3,197.7,153.6,187.9,242.7,220.0,207.8,220.4,243.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     9. Japan,229.7,185.8,140.3,161.0,157.6,144.6,163.6,161.6,162.1,140.6,176.4,223.6,212.8,222.1,236.0,214.3,200.0,207.0,215.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   10. Russian Federation,109.8,115.6,126.6,140.8,151.0,157.7,188.2,202.1,220.9,192.4,243.4,281.3,255.0,275.8,273.8,193.6,182.0,209.8,184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Imports, total","6,526.4","5,564.6","5,852.0","6,470.6","7,788.8","8,621.0","10,010.2","9,730.7","11,840.3","8,047.4","10,501.9","17,143.8","15,843.8","17,906.6","19,212.0","15,124.5","19,238.6","20,748.0","23,364.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     1. India,600.1,601.5,832.1,"1,076.2","1,439.1","1,835.4","2,172.9","2,782.7","2,839.1","1,695.5","2,547.7","4,348.5","3,524.5","3,125.8","3,977.1","4,284.9","3,826.4","4,495.8","4,314.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     2. China, People's Republic of",251.1,220.4,257.7,329.0,454.0,630.6,779.7,0.9,1.1,0.9,1.2,2.1,974.1,"2,960.0","3,414.1",…,"4,270.2","3,949.9","4,429.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     3. United Arab Emirates,142.5,151.0,268.9,180.0,202.7,296.3,219.6,372.0,466.4,294.8,335.4,814.2,"1,280.6","1,225.6","1,756.2","1,076.0","1,065.6","1,564.1","1,720.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     4. Japan,646.1,336.9,354.2,448.1,411.7,379.7,449.6,413.3,424.7,222.0,586.9,"1,024.9",558.0,669.4,941.1,"1,392.1",951.1,"1,038.6","1,808.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Exports, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     5. Singapore,496.0,410.4,432.0,522.2,698.5,736.9,992.7,"1,107.1","1,600.6","1,116.7","1,615.0","1,534.5","1,275.3","1,804.6","1,270.6",922.5,"1,030.7","1,292.7","1,513.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     1. Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     6. Malaysia,217.3,207.6,203.9,270.4,329.2,393.5,444.8,348.1,359.1,261.2,384.2,752.7,547.3,570.4,715.6,510.8,641.5,641.5,808.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     2. United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     7. United States,254.9,265.5,217.8,198.3,240.1,204.5,200.7,256.1,296.5,265.1,168.2,328.7,233.7,352.6,452.7,471.6,539.3,493.7,589.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     3. China, People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     8. Thailand,168.5,147.3,145.7,145.9,152.1,168.3,203.0,231.0,297.9,270.7,315.5,481.3,460.0,428.9,461.9,497.7,514.6,518.5,537.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     4. Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"     9. Taipei,China",390.4,322.8,287.1,276.2,290.8,278.7,274.8,263.3,251.2,201.3,264.5,352.4,380.6,454.7,443.3,460.5,496.1,482.1,519.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     5. Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,   10. Indonesia,172.0,142.8,147.3,163.4,174.8,218.9,224.8,246.8,286.1,196.3,209.1,345.8,421.9,440.8,590.8,435.3,379.3,371.1,457.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     6. Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     7. Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BALANCE OF PAYMENTSo   calendar year ($ million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     8. Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Current account balance,"-1,066.2",-243.2,-236.4,-71.2,-647.1,-650.5,"-1,498.5","-1,400.2","-3,885.6",-214.3,"-1,075.0","-4,615.4 |","-3,981.7","-2,540.6","-1,987.7","-1,882.8","-1,742.4","-2,309.4","-2,813.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     9. Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on goods,"-1,797.5","-1,157.5","-1,406.5","-1,538.8","-2,243.0","-2,516.0","-3,370.3","-3,656.0","-5,980.6","-3,122.1","-4,825.1","-9,710.0 |","-9,416.7","-7,608.5","-8,286.7","-8,388.1","-8,873.1","-9,619.4","-10,343.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     10. Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Exports,"5,522.3","4,816.9","4,699.1","5,133.2","5,757.0","6,347.0","6,882.7","7,640.0","8,110.6","7,084.5","8,625.8","10,558.8 |","9,773.5","10,394.3","11,130.1","10,546.5","10,309.7","11,360.4","11,889.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Imports,"7,319.8","5,974.4","6,105.6","6,672.0","8,000.0","8,863.0","10,253.0","11,296.0","14,091.2","10,206.6","13,450.9","20,268.8 |","19,190.2","18,002.8","19,416.8","18,934.6","19,182.8","20,979.8","22,232.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on services,38.1,175.7,294.6,398.1,418.6,336.9,256.5,303.0,401.3,390.8,706.6,"1,098.8 |","1,261.5","1,179.8","1,880.1","2,324.8","2,879.2","3,338.1","3,766.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Credit,953.4,"1,355.5","1,268.3","1,410.2","1,526.7","1,539.3","1,624.8","1,774.9","2,004.4","1,892.2","2,474.2","3,083.9 |","3,799.9","4,685.1","5,605.0","6,396.7","7,138.1","7,759.6","8,374.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Debit,915.3,"1,179.8",973.7,"1,012.0","1,108.1","1,202.4","1,368.3","1,471.8","1,603.1","1,501.4","1,767.6","1,985.1 |","2,538.4","3,505.2","3,724.9","4,071.9","4,258.9","4,421.4","4,607.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on primary income,-304.6,-266.7,-252.5,-171.7,-202.9,-299.5,-388.9,-357.8,-972.4,-487.5,-616.9,-647.0 |,"-1,218.6","-1,751.4","-1,808.1","-2,012.8","-2,201.6","-2,354.7","-2,399.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Credit,151.6,107.9,75.3,170.0,156.9,35.4,311.2,449.1,-32.0,115.8,323.3,466.6 |,142.3,131.8,155.2,127.3,127.0,160.0,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Debit,456.2,374.5,327.8,341.7,359.9,334.8,700.1,806.9,940.4,603.2,940.1,"1,113.6 |","1,360.8","1,883.2","1,963.3","2,140.1","2,328.6","2,514.8","2,661.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Balance on secondary income,998.0,"1,005.0","1,128.0","1,241.0","1,380.0","1,828.1","2,004.1","2,310.6","2,666.1","3,004.5","3,660.3","4,642.8 |","5,392.0","5,639.5","6,227.0","6,193.3","6,453.0","6,326.6","6,162.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Credit,974.0,"1,177.0","1,318.0","1,450.0","1,594.0","2,061.0","2,261.5","2,598.3","3,018.9","3,407.6","4,168.4","5,204.5 |","6,038.3","6,427.9","7,045.8","7,007.0","7,260.5","7,174.7","7,023.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,          Debit,24.0,172.0,190.0,209.0,214.0,232.9,257.4,287.7,352.8,403.1,508.1,561.7 |,646.3,788.4,818.7,813.7,807.5,848.1,860.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capital account,49.4,198.0,65.0,74.0,64.0,249.8,290.6,268.8,290.6,232.9,163.9,164.4 |,130.3,70.9,58.3,46.3,25.3,10.9,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Credit,55.9,202.8,70.9,80.3,71.0,257.3,299.1,278.5,302.7,247.1,182.4,184.6 |,146.0,89.6,72.8,70.7,56.4,40.2,41.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Debit,5.7,5.3,5.9,6.5,6.6,7.5,8.4,9.7,12.1,14.2,18.5,20.2 |,15.0,18.7,14.6,24.4,31.1,29.3,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Financial account,392.9,364.2,379.5,648.7,567.0,974.2,"1,517.1","1,827.9","1,482.5","2,361.2","2,712.8","4,097.4 |","5,023.9","4,175.4","3,084.5","2,666.7","1,709.8","4,954.6","2,326.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Direct investment,175.7,172.2,185.5,201.4,227.0,233.8,451.1,548.3,690.5,384.0,435.1,895.9 |,877.2,867.5,826.8,626.7,660.2,"1,303.4","1,542.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Portfolio investment,-44.7,-11.0,25.0,2.0,11.0,60.4,50.7,100.9,60.0,-6.4,-229.7,-171.4 |,"2,125.7","2,068.4","2,065.3",686.4,993.0,"1,771.6",129.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"Imports, cif  Total",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Financial derivatives,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,     Other investments,–,–,–,–,–,–,–,–,–,–,–,–,"2,021.0","1,239.5",192.5,"1,353.6",56.5,"1,879.6",654.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net errors and omissions,101.0,-127.0,38.2,-148.0,-189.0,-72.4,-105.5,-164.8,727.7,345.6,-537.0,-706.9 |,-412.1,-594.1,393.4,-475.8,-464.7,114.4,-529.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall balance,-522.0,220.2,245.3,504.7,-205.2,502.0,203.8,530.5,"-1,384.7","2,725.3","1,264.6","-1,060.6 |",760.4,"1,111.7","1,548.5",354.4,-472.1,"2,770.5","-1,002.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reserves and related items,–,–,–,–,–,–,–,–,–,–,–,–,-760.0,"-1,111.7","-1,548.5",-354.4,472.1,"-2,770.5","1,002.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International investment position,–,–,–,–,–,–,–,–,–,–,–,–,"-36,409.2","-38,352.5","-41,625.3","-43,005.9","-44,591.4","-48,355.2","-50,420.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Balance of Payments   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Exports,33.0,30.0,27.5,27.2,27.9,26.0,24.3,23.6,19.9,16.8,15.2,16.2,14.3,14.0,14.0,13.1,12.6,13.0,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Imports,-43.8,-37.2,-35.7,-35.3,-38.7,-36.3,-36.3,-34.9,-34.6,-24.3,23.7,31.0,28.0,24.2,24.5,23.5,23.5,24.1,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Balance on goods,-10.8,-7.2,-8.2,-8.2,-10.9,-10.3,-11.9,-11.3,-14.7,-7.4,-8.5,-14.9,-13.8,-10.2,-10.4,-10.4,-10.9,-11.0,-11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,               Current account balance,-6.4,-1.3,-1.4,-0.3,-3.1,-2.7,-5.3,-4.3,-9.5,-0.5,-1.9,-7.1,-5.8,-3.4,-2.5,-2.3,-2.1,-2.6,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
